run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Heavy Lift Vessel
1,1,2000,8831607.345259259,1168559.2282380245,1168562.437890562,1168561.7547891259,32694925.925925925
1,1,2001,2538619.2839074074,1168574.0171589751,1168578.6523898393,1168574.5529222477,35225223.344834074
1,1,2002,4402530.871622685,1168579.3275107897,1168580.6671991062,1168576.0955426835,17204103.743722208
1,1,2003,19443329.70359088,1168581.9286850141,1168581.703189613,1168584.8551532726,41263583.333333336
1,1,2004,11300169.687069444,1171777.086865156,1171777.927643833,1171777.7593691044,15598134.197162336
1,1,2005,5425826.146226851,1168579.0685212892,1168575.5459259495,1168580.0088848795,49160207.76094461
1,1,2006,13593352.308427868,1168582.0166433656,1168577.4127677458,1168582.0446395476,32626157.407407407
1,1,2007,0.0,1168573.339679047,1168575.4712097256,1168576.9486131691,36192398.73594864
1,1,2008,7054927.787884259,1173378.4756569485,1173384.379837766,1173379.7097584158,26459685.636996906
1,1,2009,3671471.6913657407,1166981.0623290914,1166982.2399890237,1166984.365382701,41625729.62292245
1,1,2010,16669711.341287037,1168577.508830127,1168579.6982496677,1168578.9818754282,25017169.893694945
1,1,2011,0.0,1168573.0411757964,1168574.130596824,1168574.0773997365,44877964.71384122
1,1,2012,11787274.505685184,1171778.5801753497,1171774.6474376568,1171771.605200513,36400470.61308163
1,1,2013,0.0,1168708.4321882573,1168708.8837479395,1168570.010673195,27229264.84590569
1,1,2014,5291247.480622685,1168447.412682002,1168445.800098509,1168584.2513898434,25138916.666666668
1,1,2015,3392268.343159722,1168576.9151480997,1168582.272444031,1168578.7020183164,16495166.698643744
1,1,2016,8376022.2887824075,1171784.73411015,1171786.3363215919,1171785.097775305,27818022.36183773
1,1,2017,8683876.01937957,1168578.6017418914,1168584.8001559821,1168582.5344386715,15651787.037037037
1,1,2018,9461299.660478417,1168586.4571717104,1168583.5053577914,1168587.5451368254,46232457.95064082
1,1,2019,2426234.528041667,1168580.4975056045,1168580.8309429819,1168578.2765384105,43129847.222222224
1,1,2020,5000493.58550463,1171783.8077627795,1171780.3539912263,1171785.3284658482,49351975.31013686
2,2,2000,10427214.447169818,1168560.4221328897,1168568.9062351743,1168564.5734422728,8224375.0
