run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,1999,30758999.999999996,300000.0,29521959.82678109,0,1809742.6,62390702.42678109
1,1,2000,30843271.23287671,300000.0,41916661.62824908,0,2035057.1,75094989.96112579
1,1,2001,30758999.999999996,300000.0,26418392.674269743,0,1063792.7999999998,58541185.47426974
1,1,2002,30758999.999999996,300000.0,38448876.86015755,0,2818972.5,72326849.36015755
1,1,2003,30758999.999999996,300000.0,36738101.93856923,0,2849144.9,70646246.83856924
1,1,2004,30843271.23287671,300000.0,15733036.08790646,0,1639340.8,48515648.12078317
1,1,2005,30758999.999999996,300000.0,19979555.862799082,0,2264923.5,53303479.36279908
1,1,2006,30758999.999999996,300000.0,50409207.82809942,0,1754631.1,83222838.92809942
1,1,2007,30758999.999999996,300000.0,22494427.64522427,0,1892488.9,55445916.545224264
1,1,2008,30843271.23287671,300000.0,31621539.583309554,0,3715984.8,66480795.61618626
1,1,2009,30758999.999999996,300000.0,16344947.792983467,0,1047615.5999999999,48451563.39298347
1,1,2010,30758999.999999996,300000.0,31252574.433887873,0,2721406.9,65032981.33388787
1,1,2011,30758999.999999996,300000.0,17190413.822799243,0,2913266.0,51162679.822799236
1,1,2012,30843271.23287671,300000.0,28741916.86620235,0,2419052.7,62304240.79907906
1,1,2013,30758999.999999996,300000.0,18666006.314213634,0,1339068.3,51064074.61421363
1,1,2014,30758999.999999996,300000.0,37602125.94748571,0,3514853.9,72175979.8474857
1,1,2015,30758999.999999996,300000.0,39536278.06901509,0,1622087.1,72217365.1690151
1,1,2016,30843271.23287671,300000.0,26138797.1207473,0,3358753.1,60640821.45362401
1,1,2017,30758999.999999996,300000.0,27627240.526951414,0,3408110.7,62094351.22695141
1,1,2018,30758999.999999996,300000.0,25747846.238229726,0,2090909.5,58897755.73822972
1,1,2019,30758999.999999996,300000.0,37430335.688316196,0,1540625.1,70029960.78831619
2,2,1999,30758999.999999996,300000.0,38373094.51257789,0,1686374.0999999999,71118468.61257789
2,2,2000,30843271.23287671,300000.0,22424811.156291705,0,922958.2000000001,54491040.589168414
2,2,2001,30758999.999999996,300000.0,50529673.469738975,0,1634057.8,83222731.26973897
2,2,2002,30758999.999999996,300000.0,31202523.6627302,0,3106466.9,65367990.56273019
2,2,2003,30758999.999999996,300000.0,21887342.724174973,0,2304502.9,55250845.62417497
2,2,2004,30843271.23287671,300000.0,13919533.527810287,0,767953.1,45830757.860686995
2,2,2005,30758999.999999996,300000.0,29099167.51949672,0,1853196.2,62011363.71949672
2,2,2006,30758999.999999996,300000.0,38390798.53562371,0,2597065.9,72046864.4356237
2,2,2007,30758999.999999996,300000.0,27446910.205125913,0,2295779.9,60801690.10512591
2,2,2008,30843271.23287671,300000.0,29492753.32194401,0,2491623.7,63127648.25482072
2,2,2009,30758999.999999996,300000.0,21723247.224539783,0,2326511.9,55108759.12453978
2,2,2010,30758999.999999996,300000.0,24536201.907432366,0,3148693.0,58743894.90743236
2,2,2011,30758999.999999996,300000.0,21743385.17508006,0,2164755.4,54967140.57508006
2,2,2012,30843271.23287671,300000.0,43050806.47024633,0,3113632.6,77307710.30312304
2,2,2013,30758999.999999996,300000.0,26354834.556888424,0,4819730.600000001,62233565.15688842
2,2,2014,30758999.999999996,300000.0,21513566.80675279,0,1587079.2000000002,54159646.00675279
2,2,2015,30758999.999999996,300000.0,50295655.50765351,0,2409083.4,83763738.90765351
2,2,2016,30843271.23287671,300000.0,41425511.54797154,0,1802756.5,74371539.28084825
2,2,2017,30758999.999999996,300000.0,24711334.146012258,0,1317908.8,57088242.94601225
2,2,2018,30758999.999999996,300000.0,40073790.40608169,0,2538366.5,73671156.90608169
2,2,2019,30758999.999999996,300000.0,47622381.575150155,0,2932248.4,81613629.97515015
3,3,1999,30758999.999999996,300000.0,29055868.95683063,0,2742431.0,62857299.95683062
3,3,2000,30843271.23287671,300000.0,23440842.321093377,0,1225751.4,55809864.95397009
3,3,2001,30758999.999999996,300000.0,50928183.76827454,0,1423928.2,83411111.96827453
3,3,2002,30758999.999999996,300000.0,39871684.619951226,0,3592149.4,74522834.01995122
3,3,2003,30758999.999999996,300000.0,22416890.67736234,0,3776848.8000000003,57252739.477362335
3,3,2004,30843271.23287671,300000.0,17993220.397703126,0,1144907.1,50281398.73057984
3,3,2005,30758999.999999996,300000.0,23815888.102468677,0,1867673.0,56742561.10246867
3,3,2006,30758999.999999996,300000.0,33810369.5249255,0,2132433.1,67001802.6249255
3,3,2007,30758999.999999996,300000.0,33310839.40005774,0,2902132.7,67271972.10005774
3,3,2008,30843271.23287671,300000.0,20546526.096384257,0,2009366.0,53699163.32926097
3,3,2009,30758999.999999996,300000.0,24521733.90902454,0,1755630.6,57336364.50902454
3,3,2010,30758999.999999996,300000.0,33423692.74815533,0,2307325.3,66790018.04815532
3,3,2011,30758999.999999996,300000.0,29462610.685564455,0,4078915.3000000003,64600525.98556445
3,3,2012,30843271.23287671,300000.0,33228631.751092028,0,3228619.6,67600522.58396874
3,3,2013,30758999.999999996,300000.0,25744130.92705362,0,2366735.0,59169865.927053615
3,3,2014,30758999.999999996,300000.0,23695117.03241242,0,1206496.2,55960613.23241242
3,3,2015,30758999.999999996,300000.0,48308706.26001217,0,1435747.0,80803453.26001218
3,3,2016,30843271.23287671,300000.0,48415212.12366114,0,2231396.6,81789879.95653784
3,3,2017,30758999.999999996,300000.0,33559290.43618443,0,2601789.7,67220080.13618442
3,3,2018,30758999.999999996,300000.0,37511592.72053066,0,2352108.9,70922701.62053066
3,3,2019,30758999.999999996,300000.0,18612313.495915465,0,2559375.6,52230689.09591546
4,4,1999,30758999.999999996,300000.0,39822372.27479582,0,2571471.8000000003,73452844.07479583
4,4,2000,30843271.23287671,300000.0,34138879.949791804,0,2350833.4,67632984.58266851
4,4,2001,30758999.999999996,300000.0,70602393.58413862,0,2143391.6999999997,103804785.28413862
4,4,2002,30758999.999999996,300000.0,33880298.86292559,0,3196952.4,68136251.2629256
4,4,2003,30758999.999999996,300000.0,38630517.20357953,0,2007859.4000000001,71697376.60357954
4,4,2004,30843271.23287671,300000.0,31754350.24819099,0,1851361.6,64748983.0810677
4,4,2005,30758999.999999996,300000.0,31212974.99874144,0,1762984.3,64034959.29874144
4,4,2006,30758999.999999996,300000.0,49120300.39515193,0,2976442.8000000003,83155743.19515193
4,4,2007,30758999.999999996,300000.0,36757134.50401146,0,2330017.8,70146152.30401146
4,4,2008,30843271.23287671,300000.0,23275528.687158875,0,2884546.8,57303346.72003558
4,4,2009,30758999.999999996,300000.0,33262800.071643364,0,2200773.5,66522573.57164336
4,4,2010,30758999.999999996,300000.0,22308100.295181673,0,2777435.5,56144535.79518167
4,4,2011,30758999.999999996,300000.0,21916042.02835425,0,1610650.4000000001,54585692.42835425
4,4,2012,30843271.23287671,300000.0,17119093.037863523,0,2125504.0,50387868.27074023
4,4,2013,30758999.999999996,300000.0,25021070.939415835,0,2970184.9,59050255.83941583
4,4,2014,30758999.999999996,300000.0,38482915.62368988,0,3731201.6,73273117.22368988
4,4,2015,30758999.999999996,300000.0,19945656.782956507,0,1265278.3,52269935.0829565
4,4,2016,30843271.23287671,300000.0,33040149.798464656,0,1171983.6,65355404.63134137
4,4,2017,30758999.999999996,300000.0,34083928.197381824,0,2830215.6,67973143.79738182
4,4,2018,30758999.999999996,300000.0,18904433.615184993,0,1257978.2000000002,51221411.81518499
4,4,2019,30758999.999999996,300000.0,26671195.67276171,0,1801441.3000000003,59531636.972761706
5,5,1999,30758999.999999996,300000.0,33089075.87854317,0,2692265.1,66840340.97854316
5,5,2000,30843271.23287671,300000.0,33672261.039414465,0,2788842.3,67604374.57229118
5,5,2001,30758999.999999996,300000.0,27012813.41798813,0,1738252.1,59810065.51798812
5,5,2002,30758999.999999996,300000.0,26872177.99369694,0,2652106.8000000003,60583284.79369693
5,5,2003,30758999.999999996,300000.0,26066455.628756765,0,3057753.7,60183209.328756765
5,5,2004,30843271.23287671,300000.0,32783055.96131806,0,4218964.7,68145291.89419477
5,5,2005,30758999.999999996,300000.0,38747062.96242184,0,2520495.3000000003,72326558.26242185
5,5,2006,30758999.999999996,300000.0,21615788.691069502,0,1407943.1,54082731.7910695
5,5,2007,30758999.999999996,300000.0,29510290.90205024,0,1181981.5,61751272.40205024
5,5,2008,30843271.23287671,300000.0,31960303.933220007,0,2199678.5,65303253.66609672
5,5,2009,30758999.999999996,300000.0,21974827.08549583,0,3224482.5,56258309.58549583
5,5,2010,30758999.999999996,300000.0,50943429.378339976,0,2738280.4,84740709.77833998
5,5,2011,30758999.999999996,300000.0,39380061.32582319,0,2755755.1999999997,73194816.52582319
5,5,2012,30843271.23287671,300000.0,40782611.08056149,0,2161974.6,74087856.9134382
5,5,2013,30758999.999999996,300000.0,35281004.44892415,0,2562756.9,68902761.34892415
5,5,2014,30758999.999999996,300000.0,25616222.364580005,0,1896337.8,58571560.16458
5,5,2015,30758999.999999996,300000.0,39404066.812512115,0,2640564.4,73103631.21251212
5,5,2016,30843271.23287671,300000.0,23191202.29662523,0,2010133.4000000001,56344606.92950194
5,5,2017,30758999.999999996,300000.0,24671411.44865103,0,2762971.7,58493383.148651026
5,5,2018,30758999.999999996,300000.0,37741853.88157564,0,1347354.8,70148208.68157564
5,5,2019,30758999.999999996,300000.0,39867162.57236373,0,3646001.2,74572163.77236372
6,6,1999,30758999.999999996,300000.0,21664742.604089342,0,1777668.1,54501410.704089336
6,6,2000,30843271.23287671,300000.0,13182278.409911035,0,833061.0,45158610.64278775
6,6,2001,30758999.999999996,300000.0,32488409.85537396,0,2420300.6,65967710.45537396
6,6,2002,30758999.999999996,300000.0,36634435.82222356,0,1845977.1,69539412.92222355
6,6,2003,30758999.999999996,300000.0,32872802.439465463,0,2337864.9,66269667.33946546
6,6,2004,30843271.23287671,300000.0,17629253.10774503,0,1754300.7,50526825.04062174
6,6,2005,30758999.999999996,300000.0,36978534.15064427,0,3235137.8,71272671.95064427
6,6,2006,30758999.999999996,300000.0,27304330.84607914,0,1620086.8,59983417.64607914
6,6,2007,30758999.999999996,300000.0,21570360.479022004,0,1368499.3,53997859.779022
6,6,2008,30843271.23287671,300000.0,20591743.495606255,0,1799907.0,53534921.72848296
6,6,2009,30758999.999999996,300000.0,23880340.224647444,0,1403712.7,56343052.92464744
6,6,2010,30758999.999999996,300000.0,24767627.43972318,0,1765394.9,57592022.33972318
6,6,2011,30758999.999999996,300000.0,18407421.55979617,0,1751644.4,51218065.95979617
6,6,2012,30843271.23287671,300000.0,31716287.39603508,0,1249788.0,64109346.62891179
6,6,2013,30758999.999999996,300000.0,16492960.823291613,0,1639135.2,49191096.02329161
6,6,2014,30758999.999999996,300000.0,36578442.48920202,0,3357821.7,70995264.18920203
6,6,2015,30758999.999999996,300000.0,34524832.75783363,0,982372.3,66566205.05783363
6,6,2016,30843271.23287671,300000.0,43103086.26418183,0,1858523.4000000001,76104880.89705855
6,6,2017,30758999.999999996,300000.0,20258954.04307031,0,1666594.5,52984548.5430703
6,6,2018,30758999.999999996,300000.0,29239721.89854028,0,2009284.7,62308006.59854028
6,6,2019,30758999.999999996,300000.0,40747666.96315963,0,3109427.6,74916094.56315963
7,7,1999,30758999.999999996,300000.0,23889610.317155674,0,1889697.3,56838307.61715567
7,7,2000,30843271.23287671,300000.0,25650499.173162553,0,1972880.4,58766650.80603927
7,7,2001,30758999.999999996,300000.0,59068996.31016514,0,2351713.1,92479709.41016513
7,7,2002,30758999.999999996,300000.0,22227712.980071716,0,2413791.3000000003,55700504.28007171
7,7,2003,30758999.999999996,300000.0,31728975.410105966,0,2399700.5,65187675.91010596
7,7,2004,30843271.23287671,300000.0,33334663.030903395,0,3469206.8000000003,67947141.0637801
7,7,2005,30758999.999999996,300000.0,37861288.446595505,0,3718492.7,72638781.14659551
7,7,2006,30758999.999999996,300000.0,46041470.081710294,0,3466933.0999999996,80567403.18171029
7,7,2007,30758999.999999996,300000.0,43265114.53662609,0,3189230.6,77513345.1366261
7,7,2008,30843271.23287671,300000.0,33224488.043133304,0,3335223.5,67702982.77601
7,7,2009,30758999.999999996,300000.0,27068761.27849947,0,2754838.0,60882599.27849947
7,7,2010,30758999.999999996,300000.0,33802564.674839064,0,2546173.2,67407737.87483907
7,7,2011,30758999.999999996,300000.0,21794275.077209853,0,2741524.8000000003,55594799.87720985
7,7,2012,30843271.23287671,300000.0,57616918.25617291,0,2738116.0,91498305.48904961
7,7,2013,30758999.999999996,300000.0,20564632.873003088,0,3036348.2,54659981.07300308
7,7,2014,30758999.999999996,300000.0,22199851.79400332,0,1788074.8,55046926.59400331
7,7,2015,30758999.999999996,300000.0,41222998.35210235,0,2054467.0,74336465.35210234
7,7,2016,30843271.23287671,300000.0,50784726.53615762,0,1804713.5,83732711.26903433
7,7,2017,30758999.999999996,300000.0,32343587.623317514,0,2731061.0,66133648.62331751
7,7,2018,30758999.999999996,300000.0,32234388.169680133,0,2430913.8,65724301.96968013
7,7,2019,30758999.999999996,300000.0,28141324.80665389,0,2407328.8000000003,61607653.606653884
8,8,1999,30758999.999999996,300000.0,31860146.798804574,0,3647304.2,66566450.99880457
8,8,2000,30843271.23287671,300000.0,44510974.77706494,0,2890996.8,78545242.80994165
