run,random_seed,year,Anchor Handling Tug,Cable Laying Vessel,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Diving Support Vessel,Tugboat 1,Tugboat 2
1,1,1999,2763456.709027778,11958342.627850955,1165375.8714030173,1165380.0170145014,1165377.2909103215,0.0,5341902.6393291345,5962124.671245381
1,1,2000,959670.2726851852,22305300.468266122,1171790.924524312,1171789.3228026647,1171789.2967511253,0.0,7935134.861373211,7201186.481846461
1,1,2001,1502151.009722222,4810356.175159723,1168608.9187482947,1168611.0894318353,1168611.2301131347,3165890.2635991406,6583771.790676526,6850392.196818868
1,1,2002,2268113.602546296,18623871.19403928,1168597.6615704887,1168603.5024560299,1168603.303426381,404946.27256944444,6892613.042986481,6753528.280563148
1,1,2003,3051400.7064558,13982726.985009259,1168589.692332135,1168593.5787122806,1168593.2162365129,2048878.2175052334,6800930.512239897,7348389.030078111
1,1,2004,1015668.7819444445,0.0,1171787.5837238731,1171791.9071317888,1171790.9415041725,1543075.1867685022,5212653.56109351,4446268.125740168
1,1,2005,1966365.0918981482,2928351.149773148,1168583.5891392392,1168588.419285183,1168586.3381952583,1432873.8008448537,5394116.463448434,4752091.010214818
1,1,2006,3558711.273178558,31284769.193472676,1168596.0596576035,1168601.2668713275,1168600.2559374357,1392785.4117421831,4863984.455541185,5803159.9116984485
1,1,2007,1939462.927662037,4250645.925,1168587.5805314172,1168591.049743535,1168590.6626444096,1539756.4300718096,5647393.274707747,5611399.794863315
1,1,2008,6906715.05118697,9427545.388043977,1171788.371811153,1171792.745452479,1171791.779511984,1403342.2546262715,5305389.5529934615,5063174.4396832585
1,1,2009,1610270.9396990743,2461458.392585648,1168584.8023921202,1168588.620760432,1168594.011568003,1364885.7803962077,3856149.571335568,3546415.6742464136
1,1,2010,2940727.0836805557,10532119.726803241,1168601.7524767623,1168603.4608488677,1168604.2338113035,1200905.3072003247,7414245.8990074955,5658766.970059322
1,1,2011,3723085.7805555556,0.0,1168593.2503499452,1168595.0534829707,1168593.5806298153,1414156.1189817043,4188238.109082893,4359151.929716358
1,1,2012,3851072.5384974265,6280619.653094907,1171793.8241397354,1171796.3468119584,1171797.642400603,1692276.637644029,7204697.190395154,6197863.033218537
1,1,2013,799913.2231481482,3967476.088837963,1168582.629736828,1168586.4061575888,1168586.4047055433,1281387.0282150395,4607797.1221742835,4503677.411238241
1,1,2014,5268831.260465457,11742530.038976729,1168586.0031987505,1168591.4934792395,1168590.518799835,1854576.126752589,7682167.847789987,7548252.658023125
1,1,2015,2880758.0198585643,14267646.988622684,1168607.7688267205,1168608.3277771757,1168607.1217508926,2362432.125587427,9150822.589125894,7368795.127465731
1,1,2016,5371749.968146869,0.0,1171799.0515622245,1171805.0666901148,1171804.690785812,1712105.572715283,7450171.988399922,8089360.782447079
1,1,2017,4159525.461226852,6281256.077622686,1168589.4382330144,1168592.7931853482,1168591.5929596086,1292589.2650479493,5872042.663833685,6516053.234842271
1,1,2018,3856082.0050925924,4610652.857548611,1168583.6724472716,1168584.6281720405,1168587.0950969977,2087765.809760516,5492857.079454425,6194733.0906572705
1,1,2019,1874918.6847222224,19195850.18422903,1168589.0015945828,1168589.4451692929,1168588.5407516952,1573176.6131169104,5574226.6735686045,5706396.545163853
2,2,1999,5432462.095325197,17885162.056946702,1165375.702329679,1165381.6199426027,1165380.1863569089,0.0,5846060.190233268,5713272.661443532
2,2,2000,1774162.569212963,7496620.366840278,1171790.4240029277,1171793.0604361717,1171792.6354561404,0.0,4660934.114734288,4977717.985608936
2,2,2001,0.0,35682790.89880807,1168611.2502119928,1168610.0196487408,1168609.7702967448,2986864.4174138266,4493527.705488565,3860659.407871038
2,2,2002,1929093.73919676,13529039.03099156,1168599.6265945758,1168601.9054909465,1168602.5552432337,833291.7730034722,5979125.86354737,5426169.168662282
2,2,2003,1846727.0119212964,2567705.001361111,1168597.4042379172,1168596.1842163815,1168598.1608139535,1509925.6576360255,5863700.32218922,6593492.981799067
2,2,2004,1544236.0038194444,0.0,1171793.7126063823,1171793.9126617108,1171793.8675762175,1219371.5639552162,3765820.888898385,3874723.57829293
2,2,2005,3064055.7354166666,10154320.820833333,1168591.274092373,1168585.6027613026,1168586.7193473827,1412871.5698051553,5607548.729920346,5354607.067320161
2,2,2006,1889352.2391203702,20838395.27765046,1168598.2330551618,1168598.9404975069,1168600.2878276561,1437233.5840518265,5773977.964794576,4946042.008626146
2,2,2007,1130477.560300926,9489349.303381944,1168589.4665859644,1168592.4916931982,1168595.022471291,966839.2113824916,6301215.780134501,6053251.369175595
2,2,2008,3672927.754513889,9283306.862513889,1171793.862267035,1171794.6137175236,1171796.5543170318,1473244.78989069,5800613.318516959,5747275.566206993
2,2,2009,2788791.241087963,3927252.942148148,1168588.173329524,1168592.7925824942,1168587.2439843956,1749100.7072864396,4705318.4449788015,5047015.679142017
2,2,2010,4950325.157215822,0.0,1168596.2741923446,1168597.0852483036,1168597.9517772717,1497359.0108067382,6874005.124466146,7708721.30372574
2,2,2011,3359409.4707571766,5583240.894054458,1168592.6612964855,1168593.249719161,1168589.937279879,1416964.016631727,3986665.671432819,3891329.273908354
2,2,2012,1997190.570601852,24565679.725300927,1171793.4054614624,1171796.597829506,1171797.5251631935,1433971.7361146223,5922310.232338228,5616266.677436543
2,2,2013,5581979.900894211,6714027.547847223,1168586.7235032173,1168588.848912806,1168587.8661481505,1324577.9709614106,4345411.94738482,4883073.751236586
2,2,2014,807006.8351851852,5438398.321986111,1168593.037046898,1168591.3069834241,1168591.4887208096,1624094.0164309647,4957336.766716726,5180955.0336826695
2,2,2015,831383.0178240741,27758212.00358981,1168607.828304552,1168608.999457417,1168606.3346831456,2428697.981623088,7867778.059010547,7903761.283160879
2,2,2016,1190847.3370370371,21688402.56307417,1171803.5376907904,1171807.0066100669,1171805.2043200722,2288133.2971639317,6465818.297186438,6276894.304889034
2,2,2017,1786079.3465277778,11070180.377675924,1168593.5072252615,1168594.4669748237,1168597.5432999479,1223512.0022025725,3633472.0667316783,3492304.8353742724
2,2,2018,2768154.3719164957,18083882.37620769,1168580.2383286853,1168577.8477743503,1168584.3379929054,2081821.6952552765,6909485.22262295,6724704.31598334
2,2,2019,1960220.421412037,31421518.758771658,1168585.6914297193,1168594.7749060025,1168590.7369258786,1700977.5916665338,4466733.9628023375,4567159.637235988
3,3,1999,4150488.578699083,11519725.222952181,1165377.1457594414,1165380.5214302873,1165381.0192067684,0.0,5235412.430894512,4654104.037888355
3,3,2000,1623838.3931712962,6552984.228962963,1171792.180236098,1171788.9576038758,1171788.8370110644,0.0,5573412.443455243,6175237.280652835
3,3,2001,6151805.236111111,26892712.975743055,1168611.4013594014,1168609.8320192893,1168610.0413135567,3574152.690936527,5664715.763162709,5138965.827628888
3,3,2002,4030021.3889993886,21931603.330669552,1168597.2551013755,1168602.9904486085,1168602.9418146398,414840.55737027,5884630.995665872,4104785.1598815215
3,3,2003,3878149.983944891,6410129.253162037,1168592.5485450863,1168595.6446796597,1168595.8313135894,1246814.538363812,3579540.737539427,3796472.1398138385
3,3,2004,0.0,6283789.578828985,1171793.6206733743,1171794.3856727176,1171795.0452581027,1293388.0239761777,3604690.217981395,3295969.525312373
3,3,2005,2112484.5583333336,5112722.026574074,1168586.3255338664,1168589.2508772612,1168587.683930469,1537497.3204666073,6012762.909706566,5534658.027046502
3,3,2006,3794496.794212963,11573139.982773148,1168594.418955882,1168599.2974026222,1168599.3035382223,2067198.8356576844,6023678.31449055,6846062.577894428
3,3,2007,2753732.148306594,13040596.028896816,1168585.3631091993,1168588.7845693293,1168589.5566109554,1264369.2887557226,6308567.015274226,6437811.214534899
3,3,2008,2619106.584038857,3120944.9354884257,1171792.922850498,1171799.2290952262,1171796.2877817336,1674242.3702457084,4659858.210468532,4956985.5564152775
3,3,2009,2227248.3786970973,6424783.765314815,1168581.8393390991,1168584.20001737,1168584.261222967,1428839.4861067014,5398558.5845685275,5536553.393757965
3,3,2010,834892.1291666667,14796127.775550924,1168599.4563064768,1168603.2133711702,1168600.2097489594,1823816.5275887274,5751792.944713571,6711260.491708832
3,3,2011,3318777.538524195,9531881.342972087,1168592.4014211239,1168594.4447497574,1168597.236001155,1485933.1765551062,5414739.509437433,6205495.035903597
3,3,2012,5321005.882254172,11689025.073541667,1171793.1787022161,1171795.408994544,1171793.959455102,1245857.510525772,6101207.5214784555,5356153.216140101
3,3,2013,970649.5045138889,8843900.387453703,1168583.140825553,1168586.6196312052,1168583.487240961,1721946.4459902723,5159651.032518594,5542230.308879441
3,3,2014,2255582.752662037,0.0,1168584.880563077,1168590.5776838986,1168589.3373574705,1487200.367165459,8479508.505682701,7967060.611297778
3,3,2015,0.0,30728016.530305553,1168608.98015748,1168607.1516528241,1168607.888331646,1812575.802314194,6147156.465146675,6115133.442103799
3,3,2016,2003743.3078703706,32267969.015090693,1171803.5631779255,1171805.5873128576,1171806.277371938,2597217.194299663,3955516.7842211295,4075350.39431656
3,3,2017,4044162.220486111,15611694.642555555,1168593.500041353,1168597.6551967075,1168594.8812980887,1493081.5420266255,4526759.388685501,4377806.605894486
3,3,2018,1120847.447222222,21108985.80077909,1168573.415166768,1168585.2681034866,1168582.2729925993,1583950.9858763875,5246014.4921235265,4946053.038266577
3,3,2019,1612796.540026941,4785744.968749999,1168587.746035356,1168583.9807850264,1168589.6903942872,1789186.3025686606,3801711.2316377894,3117113.035717404
4,4,1999,3471818.0689466638,20651760.99354398,1165377.7829317227,1165378.2921371765,1165378.5908316823,0.0,6293176.41072846,5909482.135676139
4,4,2000,2984978.0033564814,14415548.742503567,1171786.3274180857,1171792.8197596648,1171788.951574113,0.0,6581424.74156843,6641560.363611462
4,4,2001,2402642.8327546297,51182070.733589396,1168609.2965796061,1168611.4543612506,1168609.3362496635,2955577.9368298464,4513841.787861413,6042430.205912808
4,4,2002,2939955.016087963,11093884.4,1168596.2286107903,1168602.4775381666,1168602.6374352165,539812.1197013137,7837781.529804109,7963064.45374803
4,4,2003,2070811.9418484466,20753373.98514352,1168589.5709048249,1168599.258725716,1168594.9627724285,1591140.0273674745,5758229.062325398,4951178.394491726
4,4,2004,2546575.541632101,16422474.36892361,1171788.315929915,1171791.986123724,1171790.6357630063,1295327.5789843262,4292635.878686852,3681965.9421474556
4,4,2005,1619666.6488782635,8467100.779645832,1168582.65463672,1168590.7304126406,1168588.9336539465,1569939.506874841,8169479.918069645,7881025.8265695525
4,4,2006,2789627.2699225834,29111065.313303314,1168597.9496089239,1168602.1702890801,1168604.0452094828,1857531.6426658938,5696626.317773193,6159645.68637946
4,4,2007,2467745.75820371,20664450.20301588,1168586.3816532625,1168592.5501826527,1168591.6075108638,1312805.8110756364,4708193.190068074,4098169.0023013847
4,4,2008,2117211.7336805556,7335236.505006945,1171797.186527689,1171800.5526782798,1171800.2879955054,1815525.2537605222,3814539.5726354592,4677617.594873919
4,4,2009,1005201.496412037,16897018.177122686,1168584.6756069069,1168588.520749709,1168587.1720448206,1236185.0574238626,5342062.335843346,5276572.636439997
4,4,2010,5383797.940241183,0.0,1168600.1008973196,1168600.5661920684,1168603.3342867477,2200594.1224967446,5418911.711122833,5798992.519944778
4,4,2011,862335.6064814815,2632383.039664352,1168591.4872617444,1168594.388669833,1168595.10412035,1657308.5016158326,6461295.468449101,6796938.432091555
4,4,2012,2012400.439531958,0.0,1171793.4475809466,1171798.7865207824,1171800.4923287127,1663425.931692593,4843745.286570966,5084128.653637564
4,4,2013,3958797.807814806,8177309.895326389,1168585.6744518497,1168592.2780207668,1168588.7413228583,1237122.1448042623,4231361.646719182,3910712.7509557195
4,4,2014,6957034.583745839,13241754.597064396,1168583.8449964756,1168587.5141616957,1168590.5992193741,2736202.1770593347,6562676.522176955,5479485.78526581
4,4,2015,2230367.6443287036,0.0,1168608.2437088855,1168608.506037897,1168608.0547576114,1200332.315961273,6537301.589255561,6471830.428906576
4,4,2016,1012821.0806712963,15209292.90418287,1171802.9671943537,1171807.176465946,1171807.6101141162,2551170.3347286717,5611520.048641127,5139927.676466278
4,4,2017,0.0,16305676.511398148,1168593.5772917133,1168593.4878946499,1168596.5375367797,1476414.5887343052,6261592.34231109,6534461.152215137
4,4,2018,1637893.6858796296,2664516.8956458336,1168579.3406496842,1168585.1734600675,1168585.5769627169,1859858.7940556705,4745405.883825642,4491008.264705748
4,4,2019,1257345.1284722222,6782420.853898148,1168588.0202802902,1168592.4326837559,1168595.915180388,1903478.7274500665,6753734.306333077,6468440.28846376
5,5,1999,3817063.595603632,13264502.091113769,1165382.8450215345,1165377.0647668852,1165383.4975297025,0.0,5947580.904888616,6563785.879619031
5,5,2000,0.0,17398383.234562855,1171792.2811089372,1171795.920835495,1171794.7954050223,0.0,5823438.708300251,6935056.099201905
5,5,2001,3195444.8288536626,0.0,1168611.0028565996,1168610.481611739,1168610.8692560596,2997073.89427579,8596858.893324845,8717603.447809434
5,5,2002,884710.4648148149,2520481.1848657406,1168590.7650575342,1168595.9908834812,1168598.2454498713,421050.2063888889,9756540.058231004,9783611.078005603
5,5,2003,4304508.405871555,0.0,1168588.5207061013,1168591.3425572664,1168595.3414319495,1840233.7139244766,8922823.43616959,7493114.868095826
