id,substation_id,name,longitude,latitude,string,order,distance,subassembly,upstream_cable
SS1,SS1,SS1,0,0,,,,substation.yaml,export.yaml
S00T1,SS1,S00T1,0,0,0,0,0,2.6MW_turbine.yaml,array.yaml
S00T2,SS1,S00T2,0,0,0,1,0,2.6MW_turbine.yaml,array.yaml
S00T3,SS1,S00T3,0,0,0,2,0,2.6MW_turbine.yaml,array.yaml
S00T4,SS1,S00T4,0,0,0,3,0,2.6MW_turbine.yaml,array.yaml
S00T5,SS1,S00T5,0,0,0,4,0,2.6MW_turbine.yaml,array.yaml
S00T6,SS1,S00T6,0,0,0,5,0,2.6MW_turbine.yaml,array.yaml
S00T7,SS1,S00T7,0,0,0,6,0,2.6MW_turbine.yaml,array.yaml
S00T8,SS1,S00T8,0,0,0,7,0,2.6MW_turbine.yaml,array.yaml
S00T9,SS1,S00T9,0,0,0,8,0,2.6MW_turbine.yaml,array.yaml
S00T10,SS1,S00T10,0,0,0,9,0,2.6MW_turbine.yaml,array.yaml
S00T11,SS1,S00T11,0,0,0,10,0,2.6MW_turbine.yaml,array.yaml
S01T1,SS1,S01T1,0,0,1,0,0,2.6MW_turbine.yaml,array.yaml
S01T2,SS1,S01T2,0,0,1,1,0,2.6MW_turbine.yaml,array.yaml
S01T3,SS1,S01T3,0,0,1,2,0,2.6MW_turbine.yaml,array.yaml
S01T4,SS1,S01T4,0,0,1,3,0,2.6MW_turbine.yaml,array.yaml
S01T5,SS1,S01T5,0,0,1,4,0,2.6MW_turbine.yaml,array.yaml
S01T6,SS1,S01T6,0,0,1,5,0,2.6MW_turbine.yaml,array.yaml
S01T7,SS1,S01T7,0,0,1,6,0,2.6MW_turbine.yaml,array.yaml
S01T8,SS1,S01T8,0,0,1,7,0,2.6MW_turbine.yaml,array.yaml
S01T9,SS1,S01T9,0,0,1,8,0,2.6MW_turbine.yaml,array.yaml
S01T10,SS1,S01T10,0,0,1,9,0,2.6MW_turbine.yaml,array.yaml
S01T11,SS1,S01T11,0,0,1,10,0,2.6MW_turbine.yaml,array.yaml
S02T1,SS1,S02T1,0,0,2,0,0,2.6MW_turbine.yaml,array.yaml
S02T2,SS1,S02T2,0,0,2,1,0,2.6MW_turbine.yaml,array.yaml
S02T3,SS1,S02T3,0,0,2,2,0,2.6MW_turbine.yaml,array.yaml
S02T4,SS1,S02T4,0,0,2,3,0,2.6MW_turbine.yaml,array.yaml
S02T5,SS1,S02T5,0,0,2,4,0,2.6MW_turbine.yaml,array.yaml
S02T6,SS1,S02T6,0,0,2,5,0,2.6MW_turbine.yaml,array.yaml
S02T7,SS1,S02T7,0,0,2,6,0,2.6MW_turbine.yaml,array.yaml
S02T8,SS1,S02T8,0,0,2,7,0,2.6MW_turbine.yaml,array.yaml
S02T9,SS1,S02T9,0,0,2,8,0,2.6MW_turbine.yaml,array.yaml
S02T10,SS1,S02T10,0,0,2,9,0,2.6MW_turbine.yaml,array.yaml
