id,substation_id,name,longitude,latitude,string,order,distance,subassembly,upstream_cable
OSS1,OSS1,OSS1,0,0,,,,offshore_substation.yaml,export_220kv_1000mm.yaml
S00T1,OSS1,S00T1,0,0,0,0,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S00T2,OSS1,S00T2,0,0,0,1,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S00T3,OSS1,S00T3,0,0,0,2,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S00T4,OSS1,S00T4,0,0,0,3,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S00T5,OSS1,S00T5,0,0,0,4,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S00T6,OSS1,S00T6,0,0,0,5,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S00T7,OSS1,S00T7,0,0,0,6,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S00T8,OSS1,S00T8,0,0,0,7,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S00T9,OSS1,S00T9,0,0,0,8,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S00T10,OSS1,S00T10,0,0,0,9,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S00T11,OSS1,S00T11,0,0,0,10,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S00T12,OSS1,S00T12,0,0,0,11,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S00T13,OSS1,S00T13,0,0,0,12,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S00T14,OSS1,S00T14,0,0,0,13,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S01T1,OSS1,S01T1,0,0,1,0,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S01T2,OSS1,S01T2,0,0,1,1,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S01T3,OSS1,S01T3,0,0,1,2,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S01T4,OSS1,S01T4,0,0,1,3,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S01T5,OSS1,S01T5,0,0,1,4,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S01T6,OSS1,S01T6,0,0,1,5,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S01T7,OSS1,S01T7,0,0,1,6,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S01T8,OSS1,S01T8,0,0,1,7,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S01T9,OSS1,S01T9,0,0,1,8,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S01T10,OSS1,S01T10,0,0,1,9,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S01T11,OSS1,S01T11,0,0,1,10,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S01T12,OSS1,S01T12,0,0,1,11,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S01T13,OSS1,S01T13,0,0,1,12,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S01T14,OSS1,S01T14,0,0,1,13,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S02T1,OSS1,S02T1,0,0,2,0,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S02T2,OSS1,S02T2,0,0,2,1,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S02T3,OSS1,S02T3,0,0,2,2,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S02T4,OSS1,S02T4,0,0,2,3,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S02T5,OSS1,S02T5,0,0,2,4,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S02T6,OSS1,S02T6,0,0,2,5,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S02T7,OSS1,S02T7,0,0,2,6,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S02T8,OSS1,S02T8,0,0,2,7,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S02T9,OSS1,S02T9,0,0,2,8,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S02T10,OSS1,S02T10,0,0,2,9,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S02T11,OSS1,S02T11,0,0,2,10,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S02T12,OSS1,S02T12,0,0,2,11,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S02T13,OSS1,S02T13,0,0,2,12,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S02T14,OSS1,S02T14,0,0,2,13,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S03T1,OSS1,S03T1,0,0,3,0,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S03T2,OSS1,S03T2,0,0,3,1,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S03T3,OSS1,S03T3,0,0,3,2,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S03T4,OSS1,S03T4,0,0,3,3,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S03T5,OSS1,S03T5,0,0,3,4,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S03T6,OSS1,S03T6,0,0,3,5,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S03T7,OSS1,S03T7,0,0,3,6,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S03T8,OSS1,S03T8,0,0,3,7,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S03T9,OSS1,S03T9,0,0,3,8,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S03T10,OSS1,S03T10,0,0,3,9,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S03T11,OSS1,S03T11,0,0,3,10,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S03T12,OSS1,S03T12,0,0,3,11,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S03T13,OSS1,S03T13,0,0,3,12,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S03T14,OSS1,S03T14,0,0,3,13,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S04T1,OSS1,S04T1,0,0,4,0,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S04T2,OSS1,S04T2,0,0,4,1,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S04T3,OSS1,S04T3,0,0,4,2,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S04T4,OSS1,S04T4,0,0,4,3,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S04T5,OSS1,S04T5,0,0,4,4,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S04T6,OSS1,S04T6,0,0,4,5,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S04T7,OSS1,S04T7,0,0,4,6,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S04T8,OSS1,S04T8,0,0,4,7,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S04T9,OSS1,S04T9,0,0,4,8,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S04T10,OSS1,S04T10,0,0,4,9,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S04T11,OSS1,S04T11,0,0,4,10,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S04T12,OSS1,S04T12,0,0,4,11,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S04T13,OSS1,S04T13,0,0,4,12,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S04T14,OSS1,S04T14,0,0,4,13,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S05T1,OSS1,S05T1,0,0,5,0,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S05T2,OSS1,S05T2,0,0,5,1,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S05T3,OSS1,S05T3,0,0,5,2,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S05T4,OSS1,S05T4,0,0,5,3,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S05T5,OSS1,S05T5,0,0,5,4,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S05T6,OSS1,S05T6,0,0,5,5,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S05T7,OSS1,S05T7,0,0,5,6,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S05T8,OSS1,S05T8,0,0,5,7,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S05T9,OSS1,S05T9,0,0,5,8,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S05T10,OSS1,S05T10,0,0,5,9,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S05T11,OSS1,S05T11,0,0,5,10,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S05T12,OSS1,S05T12,0,0,5,11,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S05T13,OSS1,S05T13,0,0,5,12,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S05T14,OSS1,S05T14,0,0,5,13,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S06T1,OSS1,S06T1,0,0,6,0,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S06T2,OSS1,S06T2,0,0,6,1,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S06T3,OSS1,S06T3,0,0,6,2,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S06T4,OSS1,S06T4,0,0,6,3,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S06T5,OSS1,S06T5,0,0,6,4,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S06T6,OSS1,S06T6,0,0,6,5,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S06T7,OSS1,S06T7,0,0,6,6,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S06T8,OSS1,S06T8,0,0,6,7,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S06T9,OSS1,S06T9,0,0,6,8,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S06T10,OSS1,S06T10,0,0,6,9,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S06T11,OSS1,S06T11,0,0,6,10,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S06T12,OSS1,S06T12,0,0,6,11,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S06T13,OSS1,S06T13,0,0,6,12,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S06T14,OSS1,S06T14,0,0,6,13,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S07T1,OSS1,S07T1,0,0,7,0,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S07T2,OSS1,S07T2,0,0,7,1,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S07T3,OSS1,S07T3,0,0,7,2,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S07T4,OSS1,S07T4,0,0,7,3,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S07T5,OSS1,S07T5,0,0,7,4,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S07T6,OSS1,S07T6,0,0,7,5,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S07T7,OSS1,S07T7,0,0,7,6,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S07T8,OSS1,S07T8,0,0,7,7,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S07T9,OSS1,S07T9,0,0,7,8,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S07T10,OSS1,S07T10,0,0,7,9,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S07T11,OSS1,S07T11,0,0,7,10,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S07T12,OSS1,S07T12,0,0,7,11,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S07T13,OSS1,S07T13,0,0,7,12,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S07T14,OSS1,S07T14,0,0,7,13,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S08T1,OSS1,S08T1,0,0,8,0,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S08T2,OSS1,S08T2,0,0,8,1,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S08T3,OSS1,S08T3,0,0,8,2,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S08T4,OSS1,S08T4,0,0,8,3,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S08T5,OSS1,S08T5,0,0,8,4,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S08T6,OSS1,S08T6,0,0,8,5,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S08T7,OSS1,S08T7,0,0,8,6,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S08T8,OSS1,S08T8,0,0,8,7,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S08T9,OSS1,S08T9,0,0,8,8,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S08T10,OSS1,S08T10,0,0,8,9,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S08T11,OSS1,S08T11,0,0,8,10,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S08T12,OSS1,S08T12,0,0,8,11,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S08T13,OSS1,S08T13,0,0,8,12,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S08T14,OSS1,S08T14,0,0,8,13,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S09T1,OSS1,S09T1,0,0,9,0,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S09T2,OSS1,S09T2,0,0,9,1,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S09T3,OSS1,S09T3,0,0,9,2,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S09T4,OSS1,S09T4,0,0,9,3,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S09T5,OSS1,S09T5,0,0,9,4,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S09T6,OSS1,S09T6,0,0,9,5,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S09T7,OSS1,S09T7,0,0,9,6,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S09T8,OSS1,S09T8,0,0,9,7,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S09T9,OSS1,S09T9,0,0,9,8,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S09T10,OSS1,S09T10,0,0,9,9,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S09T11,OSS1,S09T11,0,0,9,10,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S09T12,OSS1,S09T12,0,0,9,11,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S09T13,OSS1,S09T13,0,0,9,12,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S09T14,OSS1,S09T14,0,0,9,13,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S10T1,OSS1,S10T1,0,0,10,0,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S10T2,OSS1,S10T2,0,0,10,1,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S10T3,OSS1,S10T3,0,0,10,2,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S10T4,OSS1,S10T4,0,0,10,3,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S10T5,OSS1,S10T5,0,0,10,4,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S10T6,OSS1,S10T6,0,0,10,5,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S10T7,OSS1,S10T7,0,0,10,6,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S10T8,OSS1,S10T8,0,0,10,7,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S10T9,OSS1,S10T9,0,0,10,8,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S10T10,OSS1,S10T10,0,0,10,9,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S10T11,OSS1,S10T11,0,0,10,10,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S10T12,OSS1,S10T12,0,0,10,11,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S10T13,OSS1,S10T13,0,0,10,12,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S10T14,OSS1,S10T14,0,0,10,13,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S11T1,OSS1,S11T1,0,0,11,0,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S11T2,OSS1,S11T2,0,0,11,1,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S11T3,OSS1,S11T3,0,0,11,2,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S11T4,OSS1,S11T4,0,0,11,3,0,6MW_turbine.yaml,array_66kV_630mm.yaml
S11T5,OSS1,S11T5,0,0,11,4,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S11T6,OSS1,S11T6,0,0,11,5,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S11T7,OSS1,S11T7,0,0,11,6,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S11T8,OSS1,S11T8,0,0,11,7,0,6MW_turbine.yaml,array_66kV_185mm.yaml
S11T9,OSS1,S11T9,0,0,11,8,0,6MW_turbine.yaml,array_66kV_185mm.yaml
