id,substation_id,name,type,longitude,latitude,string,order,distance,subassembly,upstream_cable,upstream_cable_name
SS01,SS02,SS01,substation,-1.6176,58.06335,8,0,,substation.yaml,export_cable.yaml,CB41
SS02,SS02,SS02,substation,-1.6176,58.02715,8,1,,substation.yaml,export_cable.yaml,CB42
WTG_1,SS01,WTG_1,turbine,-1.7352,58.0724,3,3,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB01
WTG_2,SS01,WTG_2,turbine,-1.7016,58.0724,3,2,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB02
WTG_3,SS01,WTG_3,turbine,-1.668,58.0724,3,1,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB_0
WTG_4,SS01,WTG_4,turbine,-1.6344,58.0724,3,0,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB04
WTG_5,SS01,WTG_5,turbine,-1.6008,58.0724,0,0,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB05
WTG_6,SS01,WTG_6,turbine,-1.5672,58.0724,0,1,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB06
WTG_7,SS01,WTG_7,turbine,-1.5336,58.0724,0,2,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB07
WTG_8,SS01,WTG_8,turbine,-1.5,58.0724,0,3,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB08
WTG_9,SS01,WTG_9,turbine,-1.7352,58.0543,2,3,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB09
WTG_10,SS01,WTG_10,turbine,-1.7016,58.0543,2,2,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB10
WTG_11,SS01,WTG_11,turbine,-1.668,58.0543,2,1,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB11
WTG_12,SS01,WTG_12,turbine,-1.6344,58.0543,2,0,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB12
WTG_13,SS01,WTG_13,turbine,-1.6008,58.0543,1,0,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB13
WTG_14,SS01,WTG_14,turbine,-1.5672,58.0543,1,1,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB14
WTG_15,SS01,WTG_15,turbine,-1.5336,58.0543,1,2,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB15
WTG_16,SS01,WTG_16,turbine,-1.5,58.0543,1,3,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB16
WTG_17,SS01,WTG_17,turbine,-1.7352,58.0362,2,4,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB17
WTG_18,SS02,WTG_18,turbine,-1.7016,58.0362,7,2,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB18
WTG_19,SS02,WTG_19,turbine,-1.668,58.0362,7,1,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB19
WTG_20,SS02,WTG_20,turbine,-1.6344,58.0362,7,0,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB20
WTG_21,SS02,WTG_21,turbine,-1.6008,58.0362,4,0,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB21
WTG_22,SS02,WTG_22,turbine,-1.5672,58.0362,4,1,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB22
WTG_23,SS02,WTG_23,turbine,-1.5336,58.0362,4,2,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB23
WTG_24,SS01,WTG_24,turbine,-1.5,58.0362,1,4,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB24
WTG_25,SS01,WTG_25,turbine,-1.7352,58.0181,2,5,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB25
WTG_26,SS02,WTG_26,turbine,-1.7016,58.0181,7,3,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB26
WTG_27,SS02,WTG_27,turbine,-1.668,58.0181,7,4,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB27
WTG_28,SS02,WTG_28,turbine,-1.6344,58.0181,6,0,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB28
WTG_29,SS02,WTG_29,turbine,-1.6008,58.0181,5,0,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB29
WTG_30,SS02,WTG_30,turbine,-1.5672,58.0181,4,4,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB30
WTG_31,SS02,WTG_31,turbine,-1.5336,58.0181,4,3,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB31
WTG_32,SS01,WTG_32,turbine,-1.5,58.0181,1,5,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB32
WTG_33,SS02,WTG_33,turbine,-1.7352,58,6,4,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB33
WTG_34,SS02,WTG_34,turbine,-1.7016,58,6,3,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB34
WTG_35,SS02,WTG_35,turbine,-1.668,58,6,2,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB35
WTG_36,SS02,WTG_36,turbine,-1.6344,58,6,1,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB36
WTG_37,SS02,WTG_37,turbine,-1.6008,58,5,1,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB37
WTG_38,SS02,WTG_38,turbine,-1.5672,58,5,2,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB38
WTG_39,SS02,WTG_39,turbine,-1.5336,58,5,3,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB39
WTG_40,SS02,WTG_40,turbine,-1.5,58,5,4,2.4,IEA_15MW_240_RWT_tow_base.yaml,array_cable.yaml,CB40
