result,base,more_ctvs,fewer_ctvs,more_techs,fewer_techs,failure_50,failure_200,no_hlvs,no_weather,historic_weather,manual_resets_only,minor_repairs_only,medium_repairs_only,major_repairs_only,major_replacements_only,annual_service_only
availability - time based,0.9550871429874989,0.9595979902363354,0.9594981864221188,0.953615464458436,0.9464474119445205,0.9721957979742677,0.9074366673510357,0.9765838865316179,0.9662825645588101,0.9587283253479352,0.9957125707181312,0.9960246715028743,0.9986968473400858,0.999780289031846,0.9638931186695866,0.9841404610365909
availability - production based,0.9538430222598054,0.958602665909057,0.9602407369864217,0.9528186709069524,0.9447662992162623,0.9707511613499916,0.9065057591866971,0.9756735884277824,0.0,0.9587191991557925,0.995118566641586,0.995628320045691,0.9985986180727073,0.999799752840503,0.962314103956711,0.9845242436364963
capacity factor - net,0.4547660738795358,0.4570353408395307,0.4578163279990571,0.45427769137619006,0.4504385424033139,0.4628274087650561,0.43219697102552695,0.4651742863789656,0.0,0.4621883073035497,0.474445116266691,0.4746881526456565,0.47610430891086475,0.4766769768759315,0.45880485224758194,0.46939403493988957
capacity factor - gross,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.0,0.48205644440641876,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145
power production,9568860295.0,9616608576.5,9633041546.0,9558584102.0,9477803493.5,9738481099.5,9093977482.5,9787862408.5,0.0,7778961987.5,9982932536.0,9988046332.5,10017844073.0,10029893740.0,9653841361.5,9876651319.5
task completion rate,1.0007001983895436,1.000467289719626,1.074517468849255,1.000470145745181,1.0005811250581125,1.0010513036164845,1.0011016070502852,1.0003414523104939,1.0005800464037122,1.0008548226243055,1.000338294993234,1.0004299226139295,1.0,1.0344827586206897,1.0634920634920635,1.0105017502917153
annual direct O&M cost,16.88396529166667,20.629038208333338,15.08018404166667,17.650507291666667,16.360723125000003,14.985636125,18.546686125,5.785836125,15.793536125,16.784605656249997,3.517986125,3.7505861250000003,3.9212861250000004,3.997136125,15.215336124999999,5.103436125
annual vessel cost,11.46905729166667,12.807630208333336,10.445326041666675,11.54030729166667,11.792103125000002,10.856478125000002,12.147728125000011,2.183978125000006,10.661478125000002,11.53141015625,1.9179781250000016,1.9179781250000016,1.917978125,2.1839781250000003,11.507978125,1.9179781249999999
ctv cost,1.917978125000004,3.196630208333336,0.6393260416666753,1.9179781250000036,1.9179781250000023,1.9179781250000025,1.9179781250000112,1.917978125000006,1.9179781250000012,1.9177539062500009,1.9179781250000016,1.9179781250000016,1.917978125,1.917978125,1.917978125,1.9179781249999999
fsv cost,0.26607916666666664,0.266,0.266,0.26607916666666664,0.266,0.266,0.266,0.266,0.266,0.266,0.0,0.0,0.0,0.266,0.0,0.0
hlv cost,9.285,9.345,9.540000000000001,9.35625,9.608125,8.6725,9.963750000000001,0.0,8.477500000000001,9.34765625,0.0,0.0,0.0,0.0,9.59,0.0
annual repair cost,3.8149,3.8213999999999997,3.03485,3.7101999999999995,3.7687,2.52915,4.79895,2.00185,3.5320500000000004,3.6531875,0.0,0.2326,0.40330000000000005,0.21315,2.10735,1.58545
annual technician cost,1.6000079999999997,4.000007999999999,1.6000079999999997,2.4,0.7999200000000001,1.6000079999999997,1.6000079999999997,1.6000079999999997,1.6000079999999997,1.6000079999999999,1.6000079999999997,1.6000079999999997,1.6000079999999997,1.6000079999999997,1.6000079999999997,1.6000079999999997
ctv utilization,0.4535085318003467,0.2592389816589105,0.9920613194634547,0.438361164339812,0.4235787936855553,0.3906378319189707,0.6672141618760836,0.5974085226754267,0.3338808285427502,0.4780971937029432,0.07564558810110411,0.07099187882106033,0.028561000091249202,0.0,0.0,0.42303129847613835
fsv utilization,0.2978723404255319,0.28113879003558717,0.9074733096085409,0.24555160142348753,0.13523131672597866,0.09608540925266904,0.302491103202847,0.0035587188612099642,0.20284697508896798,0.19111111111111112,0.0,0.0,0.0,0.2277580071174377,0.0,0.0
hlv utilization,0.7932960893854749,0.7802607076350093,0.9855855855855856,0.8033395176252319,0.8246869409660107,0.41821946169772256,0.9982993197278912,0.0,0.5052854122621564,0.7361111111111112,0.0,0.0,0.0,0.0,0.8366247755834829,0.0
