result,base,more_ctvs,fewer_ctvs,more_techs,fewer_techs,failure_50,failure_200,no_hlvs,no_weather,historic_weather,manual_resets_only,minor_repairs_only,medium_repairs_only,major_repairs_only,major_replacements_only,annual_service_only
availability - time based,0.9636796810840406,0.9599236300432148,0.9659903689329635,0.9648986892701104,0.963424266955559,0.9639401957166157,0.9625730663460279,0.978700639293325,0.9673749092251098,0.9661441592022744,0.996814991845141,0.9966844843390993,0.9985981975975905,0.999840623102656,0.9717588899867856,0.9842074012785866
availability - production based,0.9632556508273914,0.9592447778763774,0.9652953535311802,0.9646519281555468,0.9625476396573969,0.963442673277539,0.9628273369065091,0.9784591715984118,0.0,0.9650967000610859,0.9966067689956435,0.9965151772625105,0.9984051823156833,0.9997221154450293,0.9705994870336154,0.9840240831348854
capacity factor - net,0.45925375585515715,0.4555978936009159,0.45847164343722346,0.4581660454787161,0.45716660359547934,0.4575917040927074,0.45729944714123577,0.4647238617672036,0.0,0.4647456508307261,0.47334314991845144,0.4732996479868808,0.47419731492339195,0.47482279860970567,0.46099086700436914,0.4673669431084497
capacity factor - gross,0.476739531055145,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.0,0.4815204979118749,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433
power production,9663286868.0,9184744191.5,9242678298.5,9236517517.0,9216369008.5,9224938932.5,9219047102.5,9368721519.5,0.0,7807615395.0,9542484300.0,9541607311.5,9559704061.5,9572313662.5,9293465241.0,9422005405.0
task completion rate,0.9990008880994672,0.9993127147766323,0.9986889153754469,0.9988275296048775,0.9995270190374838,0.9991349480968859,0.9960553465226363,0.999779808433337,0.9994196843082637,0.9986652825152009,0.9996299722479186,0.9995014955134596,1.0,0.8571428571428571,0.9692307692307692,1.0
annual direct O&M cost,18.458901297300404,23.173620087354482,15.42813386659061,16.89628253421708,17.21424713130785,10.148059440403207,24.541578227184207,5.711445464086706,17.58479246495491,15.214247442215768,3.283474109130507,3.650407595124111,3.853539250042778,3.738149442903333,15.023103362153805,4.728112390366707
annual vessel cost,13.09524329730068,15.265883425162425,10.356474601659324,11.17215513695704,12.666847999801217,6.110750175471878,17.45776896225312,1.8479361991555414,12.198333200023637,10.298372162421266,1.7501148441990968,1.827621817346367,1.8444756944872287,1.9911414429033334,11.3823940972223,1.786903125435306
ctv cost,1.9179781260018824,3.117705209303725,1.8237861988793231,1.8591781259594395,1.8447643238735154,1.826103125702278,1.8880531266002183,1.8479361991555414,1.8587953134474369,1.8254391285643918,1.7501148441990968,1.827621817346367,1.8444756944872287,1.8424218750001666,1.9143031250001,1.786903125435306
fsv cost,0.1543570115764998,0.17077682696979984,0.14521409722449988,0.11055322627500011,0.1279923564832,0.07182239699189999,0.39927989815289966,0.0,0.12749101157609993,0.18500746962062484,0.0,0.0,0.0,0.1487195679031668,0.0,0.0
hlv cost,11.0229081597223,11.9774013888889,8.3874743055555,9.2024237847226,10.6940913194445,4.2128246527777,15.170435937499999,0.0,10.2120468750001,8.28792556423625,0.0,0.0,0.0,0.0,9.4680909722222,0.0
annual repair cost,3.7636499999999997,4.07435,3.5383000000000004,3.4241,3.7808,2.50395,5.55045,2.33015,3.8531,3.3188125,0.0,0.22277777777777777,0.40905555555555556,0.147,2.10735,1.40785
annual technician cost,1.6000079999999997,3.8333866621917805,1.5333592649315066,2.300027397260274,0.7665991315068494,1.5333592649315066,1.5333592649315066,1.5333592649315066,1.5333592649315066,1.5970627797945203,1.5333592649315066,1.6000079999999999,1.6000079999999999,1.6000079999999997,1.5333592649315066,1.5333592649315066
ctv utilization,0.7777169449767314,0.6283094770324633,0.7850700441374018,0.7688976748564436,0.7715803452855244,0.6364161308936342,0.926605504587156,0.8932765151515151,0.7661677492233832,0.7815720105439731,0.4433113377324535,0.2201298010426641,0.04449134751137276,0.0,0.0,0.43271316903278473
fsv utilization,0.4095744680851064,0.36683417085427134,0.4293785310734463,0.4825174825174825,0.42105263157894735,0.4,0.3735224586288416,0.0,0.44966442953020136,0.42441860465116277,0.0,0.0,0.0,0.3557692307692308,0.0,0.0
hlv utilization,0.2796992481203007,0.30357142857142855,0.3163064833005894,0.2828096118299446,0.30094043887147337,0.3515625,0.3329646017699115,0.0,0.24311926605504589,0.3170103092783505,0.0,0.0,0.0,0.0,0.358974358974359,0.0
