id,substation_id,name,longitude,latitude,string,order,distance,subassembly,upstream_cable
OSS1,OSS1,OSS1,0,0,,,,offshore_substation.yaml,export.yaml
S00T1,OSS1,S00T1,0,0,0,0,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T2,OSS1,S00T2,0,0,0,1,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T3,OSS1,S00T3,0,0,0,2,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T4,OSS1,S00T4,0,0,0,3,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T5,OSS1,S00T5,0,0,0,4,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T6,OSS1,S00T6,0,0,0,5,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T7,OSS1,S00T7,0,0,0,6,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T8,OSS1,S00T8,0,0,0,7,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T9,OSS1,S00T9,0,0,0,8,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T10,OSS1,S00T10,0,0,0,9,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T11,OSS1,S00T11,0,0,0,10,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T12,OSS1,S00T12,0,0,0,11,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T13,OSS1,S00T13,0,0,0,12,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T14,OSS1,S00T14,0,0,0,13,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T15,OSS1,S00T15,0,0,0,14,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T16,OSS1,S00T16,0,0,0,15,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T17,OSS1,S00T17,0,0,0,16,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T18,OSS1,S00T18,0,0,0,17,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T19,OSS1,S00T19,0,0,0,18,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T20,OSS1,S00T20,0,0,0,19,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T21,OSS1,S00T21,0,0,0,20,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T22,OSS1,S00T22,0,0,0,21,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T23,OSS1,S00T23,0,0,0,22,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T24,OSS1,S00T24,0,0,0,23,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T25,OSS1,S00T25,0,0,0,24,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T26,OSS1,S00T26,0,0,0,25,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T27,OSS1,S00T27,0,0,0,26,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T28,OSS1,S00T28,0,0,0,27,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T29,OSS1,S00T29,0,0,0,28,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T30,OSS1,S00T30,0,0,0,29,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T31,OSS1,S00T31,0,0,0,30,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T32,OSS1,S00T32,0,0,0,31,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T33,OSS1,S00T33,0,0,0,32,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T34,OSS1,S00T34,0,0,0,33,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T35,OSS1,S00T35,0,0,0,34,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T36,OSS1,S00T36,0,0,0,35,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T37,OSS1,S00T37,0,0,0,36,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T38,OSS1,S00T38,0,0,0,37,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T39,OSS1,S00T39,0,0,0,38,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T40,OSS1,S00T40,0,0,0,39,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T41,OSS1,S00T41,0,0,0,40,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T42,OSS1,S00T42,0,0,0,41,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T43,OSS1,S00T43,0,0,0,42,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T44,OSS1,S00T44,0,0,0,43,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T45,OSS1,S00T45,0,0,0,44,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T46,OSS1,S00T46,0,0,0,45,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T47,OSS1,S00T47,0,0,0,46,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T48,OSS1,S00T48,0,0,0,47,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T49,OSS1,S00T49,0,0,0,48,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T50,OSS1,S00T50,0,0,0,49,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T51,OSS1,S00T51,0,0,0,50,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T52,OSS1,S00T52,0,0,0,51,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T53,OSS1,S00T53,0,0,0,52,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T54,OSS1,S00T54,0,0,0,53,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T55,OSS1,S00T55,0,0,0,54,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T56,OSS1,S00T56,0,0,0,55,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T57,OSS1,S00T57,0,0,0,56,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T58,OSS1,S00T58,0,0,0,57,0,vestas_v90_annual_service_only.yaml,array.yaml
S00T59,OSS1,S00T59,0,0,0,58,0,vestas_v90_annual_service_only.yaml,array.yaml
