result,one_mobilization,one_mobilization_100pct_reduction,two_mobilizations,two_mobilizations_100pct_reduction,three_mobilizations,three_mobilizations_100pct_reduction
availability - time based,0.6619243668720055,0.7429103924252795,0.8352906684919005,0.8169740474560803,0.9466059206023272,0.9127265571526352
availability - production based,0.6634777005949074,0.7445432561560384,0.83810153737739,0.8203144933860947,0.9516986722743461,0.9125190520781749
capacity factor - net,0.3905619570071869,0.4382819059933265,0.4933558073094912,0.48288530814368014,0.5602257552760667,0.5371623288415469
capacity factor - gross,0.588645488963039,0.588645488963039,0.588645488963039,0.588645488963039,0.588645488963039,0.588645488963039
power production,27389328921.0,30735833503.5,34598056055.0,33863780889.5,39287511766.0,37670119797.0
task completion rate,1.0029800110031175,1.001962122504692,1.0020301195924997,1.001710265479846,1.0024467425700585,1.0011142449249626
total annual costs,15.27298948333333,15.220925850000004,20.9857596,20.832272216666663,24.778849249999997,24.455623633333335
technicians,3.0,3.0,3.0,3.0,3.0,3.0
materials,4.0795124000000005,4.0317821,6.12711585,5.9777118,6.8978305,6.54839655
vessels,8.193477083333313,8.189143749999953,11.858643749999944,11.854560416666597,14.881018749999887,14.907227083333236
ctv cost,2.556852083333313,2.5568520833332844,2.556852083333278,2.5568520833332635,2.5568520833332196,2.5568520833332355
hlv cost,3.5616250000000016,3.5566666666666675,7.226791666666665,7.222708333333334,10.248541666666664,10.275375
dsv cost,0.525,0.525625,0.525,0.525,0.525625,0.525
cab cost,1.55,1.55,1.55,1.55,1.55,1.5500000000000003
manual reset,0.42225,4.427198893986294,0.5424583333333334,5.444743497067438,0.6611666666666666,7.801595214612398
minor repair,0.9403750000000001,2.16619750675875,1.2083958333333333,2.6505211933822186,1.4835,3.0138251531855307
major repair,0.5719791666666666,0.6701303574255278,0.7030624999999999,0.8268340242282699,0.7820833333333332,0.9016785692706902
major replacement,78.53504039141261,59.58791799205003,49.31020433985118,44.78348150504943,10.957901016013755,9.251173575491169
remote reset,0.019125,2.3562760374610123,0.03658333333333333,2.5727953886121435,0.057854166666666665,2.8482998145625174
annual service,1.9810208333333332,0.0,1.6265625,0.0,1.8411666666666668,0.0
bos,0.017166666666666667,3.5425835780504022,0.015916666666666666,3.0875804180434128,0.0220625,3.8619922599415712
total downtime,82.69685289141262,72.84470019906536,53.67928767318451,59.47453935971625,16.08767184934709,27.814731253730546
ctv utilization,0.680766598220397,0.3519507186858316,0.7366187542778919,0.40328542094455855,0.8772073921971253,0.4559206023271732
hlv utilization,1.0,0.9823008849557522,0.9978189749182116,0.982532751091703,0.7316692667706708,0.7132867132867133
dsv utilization,0.19753086419753085,0.2345679012345679,0.20987654320987653,0.2345679012345679,0.2926829268292683,0.2345679012345679
cab utilization,0.014925373134328358,0.014925373134328358,0.004975124378109453,0.014925373134328358,0.014925373134328358,0.029850746268656716
