result,requests,requests_100pct_reduction,one_mobilization,one_mobilization_100pct_reduction,two_mobilizations,two_mobilizations_100pct_reduction,three_mobilizations,three_mobilizations_100pct_reduction
availability - time based,0.9463634496919918,0.9004344024822999,0.6467724958428334,0.6206276607294898,0.9271135263630078,0.8066497522842988,0.9533079046165978,0.9058350619146395
availability - production based,0.947953361384351,0.9057967023754223,0.6482747051014988,0.6208850321192283,0.9285091972992092,0.8069545975371281,0.9550579662400771,0.9064179505554577
capacity factor - net,0.5580210452315766,0.5326750833719051,0.3812332079397597,0.36512606568466105,0.5460317009168624,0.474548655778033,0.5616443297461701,0.5330404229952742
capacity factor - gross,0.588645488963039,0.5880602639157938,0.5880602639157938,0.5880602639157938,0.5880602639157938,0.5880602639157938,0.5880602639157938,0.5880602639157938
power production,39132899860.0,37287042766.0,26686172062.5,25558678547.5,38222000651.5,33218216085.0,39314878424.5,37312616393.5
task completion rate,0.993028015862863,0.9996488394142642,0.9940802978946865,0.9970780856423174,0.9924412463691576,0.9991795593061416,0.9951335847110767,0.9996478873239436
total annual costs,23.69226797296086,21.591392056958632,15.11682216004078,14.98451693524243,21.23505463473338,21.11315375173133,25.506036201390536,24.36068864330048
technicians,2.859099804305283,2.9965582191780813,2.9965582191780813,2.9965582191780813,2.9965582191780813,2.9965582191780813,2.9965582191780813,2.9965582191780813
materials,7.061454666666667,6.08743315,3.9579941499999998,3.7805107999999996,6.231686,5.8867622,7.254738399999999,6.359621049999999
vessels,13.771713501988906,12.50740068778055,8.1622697908627,8.20744791606435,12.0068104155553,12.22983333255325,15.254739582212448,15.004509374122398
ctv cost,2.4350972211509525,2.5131804678932506,2.5005458325391503,2.5470520827408003,2.5341020822401004,2.5393958325717003,2.5230624989011003,2.5082020824735
hlv cost,10.745418694858904,9.3875416897944,3.5853958333235503,3.5853958333235503,7.397708333315199,7.615437499981549,10.64542708331135,10.4199791666489
dsv cost,0.5,0.5287499999999999,0.526328125,0.525,0.525,0.525,0.53625,0.526328125
cab cost,0.09119758597904762,0.0779285300929,1.55,1.55,1.55,1.55,1.55,1.55
manual reset,0.2827529761904762,9.889815736916681,0.25280729166666666,4.167975116708317,0.2594479166666666,7.502699648104157,0.27666145833333333,10.4179594646875
minor repair,0.547172619047619,3.597578610041666,0.49385937500000004,2.199602133229165,0.56246875,3.1889082441249865,0.5609166666666667,3.6102671913333277
major repair,0.6135565476190475,0.8968969339999999,0.47384375,0.6886185064791682,0.6506822916666667,0.9226546390625013,0.6859322916666666,1.0168489901874986
major replacement,15.022713247936506,10.890774514354163,91.41236528333333,83.84536408972917,22.40893278360417,50.69030028010417,13.298101009416666,9.434758260854167
remote reset,0.22259920634920632,3.2813549185833266,0.19314583333333335,2.270429269374996,0.23164583333333336,2.991692986749984,0.2315625,3.2941522862708363
annual service,1.2750396825396826,0.0,1.5572552083333333,0.0,1.4588124999999998,0.0,1.280078125,0.0
bos,0.028618766527777787,3.0516547790208324,0.09945714545833333,2.6740865703750014,0.2672016846875002,1.9816653266250008,0.014791666666666667,3.4904413470625006
total downtime,18.09668915732143,31.68583070125,94.59913492879166,95.90789339422916,25.963764676625,67.34594716643747,16.45552809275,31.33575566539583
ctv utilization,0.9998631261976457,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hlv utilization,0.959479015918958,0.9591111111111111,0.9578713968957872,0.9578713968957872,0.9630459126539753,0.9597388465723613,1.0023866348448687,1.0087649402390437
dsv utilization,0.9901960784313726,1.0,0.9901960784313726,1.0,1.0,1.0,1.0,0.9901960784313726
cab utilization,0.2903225806451613,0.3225806451612903,1.0,1.0,1.0,1.0,1.0,1.0
