id,substation_id,name,type,x,y,easting,northing,longitude,latitude,string,order,distance,subassembly,upstream_cable,upstream_cable_name
SS1,SS2,SS1,substation,0,4320,623080.06,3918930.21,-121.6445116,35.40616396,9,0,,corewind_substation.yaml,corewind_export.yaml,EXP00
SS2,SS2,SS2,substation,0,-4320,623080.06,3910290.21,-121.6458132,35.32827984,9,1,,corewind_substation.yaml,corewind_export.yaml,EXP01
WTG_0000,SS1,WTG_0000,turbine,-2160,7560,620920.06,3922170.21,-121.6678132,35.4356351,0,0,,corewind_15MW.yaml,corewind_array.yaml,ARR00
WTG_0001,SS1,WTG_0001,turbine,-4320,7560,618760.06,3922170.21,-121.6916045,35.43589529,0,1,,corewind_15MW.yaml,corewind_array.yaml,ARR01
WTG_0002,SS1,WTG_0002,turbine,-6480,7560,616600.06,3922170.21,-121.7153961,35.43615079,0,2,,corewind_15MW.yaml,corewind_array.yaml,ARR02
WTG_0003,SS1,WTG_0003,turbine,-8640,7560,614440.06,3922170.21,-121.739188,35.43640161,0,3,,corewind_15MW.yaml,corewind_array.yaml,ARR03
WTG_0004,SS1,WTG_0004,turbine,-10800,7560,612280.06,3922170.21,-121.7629802,35.43664773,0,4,,corewind_15MW.yaml,corewind_array.yaml,ARR04
WTG_0005,SS1,WTG_0005,turbine,-12960,7560,610120.06,3922170.21,-121.7867727,35.43688918,0,5,,corewind_15MW.yaml,corewind_array.yaml,ARR05
WTG_0006,SS1,WTG_0006,turbine,-15120,7560,607960.06,3922170.21,-121.8105655,35.43712593,0,6,,corewind_15MW.yaml,corewind_array.yaml,ARR06
WTG_0007,SS1,WTG_0007,turbine,-17280,7560,605800.06,3922170.21,-121.8343586,35.437358,0,7,,corewind_15MW.yaml,corewind_array.yaml,ARR07
WTG_0008,SS1,WTG_0008,turbine,-19440,7560,603640.06,3922170.21,-121.8581519,35.43758538,0,8,,corewind_15MW.yaml,corewind_array.yaml,ARR08
WTG_0009,SS1,WTG_0009,turbine,-21600,7560,601480.06,3922170.21,-121.8819455,35.43780807,0,9,,corewind_15MW.yaml,corewind_array.yaml,ARR09
WTG_0100,SS1,WTG_0100,turbine,-2160,5400,620920.06,3920010.21,-121.6681338,35.41616408,1,0,,corewind_15MW.yaml,corewind_array.yaml,ARR10
WTG_0101,SS1,WTG_0101,turbine,-4320,5400,618760.06,3920010.21,-121.6919194,35.41642408,1,1,,corewind_15MW.yaml,corewind_array.yaml,ARR11
WTG_0102,SS1,WTG_0102,turbine,-6480,5400,616600.06,3920010.21,-121.7157053,35.4166794,1,2,,corewind_15MW.yaml,corewind_array.yaml,ARR12
WTG_0103,SS1,WTG_0103,turbine,-8640,5400,614440.06,3920010.21,-121.7394915,35.41693004,1,3,,corewind_15MW.yaml,corewind_array.yaml,ARR13
WTG_0104,SS1,WTG_0104,turbine,-10800,5400,612280.06,3920010.21,-121.763278,35.41717599,1,4,,corewind_15MW.yaml,corewind_array.yaml,ARR14
WTG_0105,SS1,WTG_0105,turbine,-12960,5400,610120.06,3920010.21,-121.7870648,35.41741726,1,5,,corewind_15MW.yaml,corewind_array.yaml,ARR15
WTG_0106,SS1,WTG_0106,turbine,-15120,5400,607960.06,3920010.21,-121.8108518,35.41765384,1,6,,corewind_15MW.yaml,corewind_array.yaml,ARR16
WTG_0107,SS1,WTG_0107,turbine,-17280,5400,605800.06,3920010.21,-121.8346391,35.41788574,1,7,,corewind_15MW.yaml,corewind_array.yaml,ARR17
WTG_0108,SS1,WTG_0108,turbine,-19440,5400,603640.06,3920010.21,-121.8584267,35.41811296,1,8,,corewind_15MW.yaml,corewind_array.yaml,ARR18
WTG_0109,SS1,WTG_0109,turbine,-21600,5400,601480.06,3920010.21,-121.8822146,35.41833549,1,9,,corewind_15MW.yaml,corewind_array.yaml,ARR19
