id,substation_id,name,type,longitude,latitude,string,order,distance,subassembly,upstream_cable
OSS1,OSS1,OSS1,substation,-100.39,32.33556,,,,lbw_substation.yaml,lbw_export.yaml
S00T00,OSS1,S00T00,turbine,-100.407089,32.345234,0,0,0,3.5MW_lbw.yaml,lbw_array.yaml
S00T01,OSS1,S00T01,turbine,-100.404289,32.344509,0,1,0,3.5MW_lbw.yaml,lbw_array.yaml
S00T02,OSS1,S00T02,turbine,-100.401581,32.344788,0,2,0,3.5MW_lbw.yaml,lbw_array.yaml
S00T03,OSS1,S00T03,turbine,-100.398628,32.355999,0,3,0,3.5MW_lbw.yaml,lbw_array.yaml
S00T04,OSS1,S00T04,turbine,-100.396378,32.355755,0,4,0,3.5MW_lbw.yaml,lbw_array.yaml
S00T05,OSS1,S00T05,turbine,-100.393661,32.355812,0,5,0,3.5MW_lbw.yaml,lbw_array.yaml
S00T06,OSS1,S00T06,turbine,-100.391174,32.356098,0,6,0,3.5MW_lbw.yaml,lbw_array.yaml
S01T00,OSS1,S01T00,turbine,-100.395782,32.342808,1,0,0,3.5MW_lbw.yaml,lbw_array.yaml
S01T01,OSS1,S01T01,turbine,-100.392639,32.343369,1,1,0,3.5MW_lbw.yaml,lbw_array.yaml
S01T02,OSS1,S01T02,turbine,-100.389656,32.343941,1,2,0,3.5MW_lbw.yaml,lbw_array.yaml
S01T03,OSS1,S01T03,turbine,-100.385796,32.347607,1,3,0,3.5MW_lbw.yaml,lbw_array.yaml
S01T04,OSS1,S01T04,turbine,-100.382828,32.347691,1,4,0,3.5MW_lbw.yaml,lbw_array.yaml
S02T00,OSS1,S02T00,turbine,-100.374413,32.352451,2,0,0,3.5MW_lbw.yaml,lbw_array.yaml
S02T01,OSS1,S02T01,turbine,-100.377167,32.352554,2,1,0,3.5MW_lbw.yaml,lbw_array.yaml
S02T02,OSS1,S02T02,turbine,-100.380089,32.352699,2,2,0,3.5MW_lbw.yaml,lbw_array.yaml
S02T03,OSS1,S02T03,turbine,-100.38266,32.352764,2,3,0,3.5MW_lbw.yaml,lbw_array.yaml
S02T04,OSS1,S02T04,turbine,-100.386856,32.361858,2,4,0,3.5MW_lbw.yaml,lbw_array.yaml
S02T05,OSS1,S02T05,turbine,-100.384193,32.364651,2,5,0,3.5MW_lbw.yaml,lbw_array.yaml
S02T06,OSS1,S02T06,turbine,-100.381866,32.364479,2,6,0,3.5MW_lbw.yaml,lbw_array.yaml
S02T07,OSS1,S02T07,turbine,-100.379509,32.364315,2,7,0,3.5MW_lbw.yaml,lbw_array.yaml
S02T08,OSS1,S02T08,turbine,-100.375916,32.364136,2,8,0,3.5MW_lbw.yaml,lbw_array.yaml
S03T00,OSS1,S03T00,turbine,-100.364281,32.339458,3,0,0,3.5MW_lbw.yaml,lbw_array.yaml
S03T01,OSS1,S03T01,turbine,-100.361618,32.33934,3,1,0,3.5MW_lbw.yaml,lbw_array.yaml
S03T02,OSS1,S03T02,turbine,-100.358978,32.339222,3,2,0,3.5MW_lbw.yaml,lbw_array.yaml
S03T03,OSS1,S03T03,turbine,-100.356323,32.339108,3,3,0,3.5MW_lbw.yaml,lbw_array.yaml
S03T04,OSS1,S03T04,turbine,-100.353867,32.338997,3,4,0,3.5MW_lbw.yaml,lbw_array.yaml
S04T00,OSS1,S04T00,turbine,-100.380531,32.329418,4,0,0,3.5MW_lbw.yaml,lbw_array.yaml
S04T01,OSS1,S04T01,turbine,-100.377937,32.32922,4,1,0,3.5MW_lbw.yaml,lbw_array.yaml
S04T02,OSS1,S04T02,turbine,-100.375351,32.329018,4,2,0,3.5MW_lbw.yaml,lbw_array.yaml
S04T03,OSS1,S04T03,turbine,-100.372765,32.328819,4,3,0,3.5MW_lbw.yaml,lbw_array.yaml
S04T04,OSS1,S04T04,turbine,-100.368851,32.328514,4,4,0,3.5MW_lbw.yaml,lbw_array.yaml
