id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
A7,OSS,A7,turbine,-41.70560556,-74.67750502,0.0,0.0,0.0,0.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,1515.15,9090.9,1515.15,9090.9,5.572890549608736,0.0
B7,OSS,B7,turbine,-41.66269051,-74.67031126,0.0,1.0,0.0,1.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,3030.3,9090.9,3030.3,9090.9,4.877183579003299,0.0
C7,OSS,C7,turbine,-41.61981624,-74.66310956,0.0,2.0,0.0,2.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,4545.45,9090.9,4545.45,9090.9,4.872815850146386,0.0
D7,OSS,D7,turbine,-41.57698273,-74.65589992,0.0,3.0,0.0,3.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,6060.6,9090.9,6060.6,9090.9,4.868450890742096,0.0
E7,OSS,E7,turbine,-41.53418997,-74.64868235,0.0,4.0,0.0,4.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,7575.75,9090.9,7575.75,9090.9,4.864087494580388,0.0
A6,OSS,A6,turbine,-41.67838989,-74.68885434,1.0,0.0,1.0,0.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,1515.15,7575.75,1515.15,7575.75,2.8629152681170327,0.0
B6,OSS,B6,turbine,-41.63545724,-74.681655,1.0,1.0,1.0,1.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,3030.3,7575.75,3030.3,7575.75,4.8792144492362,0.0
C6,OSS,C6,turbine,-41.59256545,-74.67444772,1.0,2.0,1.0,2.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,4545.45,7575.75,4545.45,7575.75,4.8748381180157905,0.0
F7,OSS,F7,turbine,-41.49143795,-74.64145688,1.0,3.0,1.0,3.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,9090.9,9090.9,9090.9,9090.9,11.6432249696727,0.0
G7,OSS,G7,turbine,-41.44872665,-74.63422351,1.0,4.0,1.0,4.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,10606.05,9090.9,10606.05,9090.9,4.8553661815216484,0.0
A5,OSS,A5,turbine,-41.65113336,-74.70020011,2.0,0.0,2.0,0.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,1515.15,6060.6,1515.15,6060.6,2.3972855554399652,0.0
D6,OSS,D6,turbine,-41.54971449,-74.66723249,2.0,1.0,2.0,1.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,6060.6,7575.75,6060.6,7575.75,11.673658600980069,0.0
E6,OSS,E6,turbine,-41.50690436,-74.66000934,2.0,2.0,2.0,2.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,7575.75,7575.75,7575.75,7575.75,4.866093663662374,0.0
F6,OSS,F6,turbine,-41.46413505,-74.65277828,2.0,3.0,2.0,3.0,0.0,12MW_osw_fixed.yaml,osw_array.yaml,9090.9,7575.75,9090.9,7575.75,4.861723126582454,0.0
