datetime,windspeed,waveheight
01/01/98 00:00,0,0
01/01/98 01:00,0,0
01/01/98 02:00,0,0
01/01/98 03:00,0,0
01/01/98 04:00,0,0
01/01/98 05:00,0,0
01/01/98 06:00,0,0
01/01/98 07:00,0,0
01/01/98 08:00,0,0
01/01/98 09:00,0,0
01/01/98 10:00,0,0
01/01/98 11:00,0,0
01/01/98 12:00,0,0
01/01/98 13:00,0,0
01/01/98 14:00,0,0
01/01/98 15:00,0,0
01/01/98 16:00,0,0
01/01/98 17:00,0,0
01/01/98 18:00,0,0
01/01/98 19:00,0,0
01/01/98 20:00,0,0
01/01/98 21:00,0,0
01/01/98 22:00,0,0
01/01/98 23:00,0,0
01/02/98 00:00,0,0
01/02/98 01:00,0,0
01/02/98 02:00,0,0
01/02/98 03:00,0,0
01/02/98 04:00,0,0
01/02/98 05:00,0,0
01/02/98 06:00,0,0
01/02/98 07:00,0,0
01/02/98 08:00,0,0
01/02/98 09:00,0,0
01/02/98 10:00,0,0
01/02/98 11:00,0,0
01/02/98 12:00,0,0
01/02/98 13:00,0,0
01/02/98 14:00,0,0
01/02/98 15:00,0,0
01/02/98 16:00,0,0
01/02/98 17:00,0,0
01/02/98 18:00,0,0
01/02/98 19:00,0,0
01/02/98 20:00,0,0
01/02/98 21:00,0,0
01/02/98 22:00,0,0
01/02/98 23:00,0,0
01/03/98 00:00,0,0
01/03/98 01:00,0,0
01/03/98 02:00,0,0
01/03/98 03:00,0,0
01/03/98 04:00,0,0
01/03/98 05:00,0,0
01/03/98 06:00,0,0
01/03/98 07:00,0,0
01/03/98 08:00,0,0
01/03/98 09:00,0,0
01/03/98 10:00,0,0
01/03/98 11:00,0,0
01/03/98 12:00,0,0
01/03/98 13:00,0,0
01/03/98 14:00,0,0
01/03/98 15:00,0,0
01/03/98 16:00,0,0
01/03/98 17:00,0,0
01/03/98 18:00,0,0
01/03/98 19:00,0,0
01/03/98 20:00,0,0
01/03/98 21:00,0,0
01/03/98 22:00,0,0
01/03/98 23:00,0,0
01/04/98 00:00,0,0
01/04/98 01:00,0,0
01/04/98 02:00,0,0
01/04/98 03:00,0,0
01/04/98 04:00,0,0
01/04/98 05:00,0,0
01/04/98 06:00,0,0
01/04/98 07:00,0,0
01/04/98 08:00,0,0
01/04/98 09:00,0,0
01/04/98 10:00,0,0
01/04/98 11:00,0,0
01/04/98 12:00,0,0
01/04/98 13:00,0,0
01/04/98 14:00,0,0
01/04/98 15:00,0,0
01/04/98 16:00,0,0
01/04/98 17:00,0,0
01/04/98 18:00,0,0
01/04/98 19:00,0,0
01/04/98 20:00,0,0
01/04/98 21:00,0,0
01/04/98 22:00,0,0
01/04/98 23:00,0,0
01/05/98 00:00,0,0
01/05/98 01:00,0,0
01/05/98 02:00,0,0
01/05/98 03:00,0,0
01/05/98 04:00,0,0
01/05/98 05:00,0,0
01/05/98 06:00,0,0
01/05/98 07:00,0,0
01/05/98 08:00,0,0
01/05/98 09:00,0,0
01/05/98 10:00,0,0
01/05/98 11:00,0,0
01/05/98 12:00,0,0
01/05/98 13:00,0,0
01/05/98 14:00,0,0
01/05/98 15:00,0,0
01/05/98 16:00,0,0
01/05/98 17:00,0,0
01/05/98 18:00,0,0
01/05/98 19:00,0,0
01/05/98 20:00,0,0
01/05/98 21:00,0,0
01/05/98 22:00,0,0
01/05/98 23:00,0,0
01/06/98 00:00,0,0
01/06/98 01:00,0,0
01/06/98 02:00,0,0
01/06/98 03:00,0,0
01/06/98 04:00,0,0
01/06/98 05:00,0,0
01/06/98 06:00,0,0
01/06/98 07:00,0,0
01/06/98 08:00,0,0
01/06/98 09:00,0,0
01/06/98 10:00,0,0
01/06/98 11:00,0,0
01/06/98 12:00,0,0
01/06/98 13:00,0,0
01/06/98 14:00,0,0
01/06/98 15:00,0,0
01/06/98 16:00,0,0
01/06/98 17:00,0,0
01/06/98 18:00,0,0
01/06/98 19:00,0,0
01/06/98 20:00,0,0
01/06/98 21:00,0,0
01/06/98 22:00,0,0
01/06/98 23:00,0,0
01/07/98 00:00,0,0
01/07/98 01:00,0,0
01/07/98 02:00,0,0
01/07/98 03:00,0,0
01/07/98 04:00,0,0
01/07/98 05:00,0,0
01/07/98 06:00,0,0
01/07/98 07:00,0,0
01/07/98 08:00,0,0
01/07/98 09:00,0,0
01/07/98 10:00,0,0
01/07/98 11:00,0,0
01/07/98 12:00,0,0
01/07/98 13:00,0,0
01/07/98 14:00,0,0
01/07/98 15:00,0,0
01/07/98 16:00,0,0
01/07/98 17:00,0,0
01/07/98 18:00,0,0
01/07/98 19:00,0,0
01/07/98 20:00,0,0
01/07/98 21:00,0,0
01/07/98 22:00,0,0
01/07/98 23:00,0,0
01/08/98 00:00,0,0
01/08/98 01:00,0,0
01/08/98 02:00,0,0
01/08/98 03:00,0,0
01/08/98 04:00,0,0
01/08/98 05:00,0,0
01/08/98 06:00,0,0
01/08/98 07:00,0,0
01/08/98 08:00,0,0
01/08/98 09:00,0,0
01/08/98 10:00,0,0
01/08/98 11:00,0,0
01/08/98 12:00,0,0
01/08/98 13:00,0,0
01/08/98 14:00,0,0
01/08/98 15:00,0,0
01/08/98 16:00,0,0
01/08/98 17:00,0,0
01/08/98 18:00,0,0
01/08/98 19:00,0,0
01/08/98 20:00,0,0
01/08/98 21:00,0,0
01/08/98 22:00,0,0
01/08/98 23:00,0,0
01/09/98 00:00,0,0
01/09/98 01:00,0,0
01/09/98 02:00,0,0
01/09/98 03:00,0,0
01/09/98 04:00,0,0
01/09/98 05:00,0,0
01/09/98 06:00,0,0
01/09/98 07:00,0,0
01/09/98 08:00,0,0
01/09/98 09:00,0,0
01/09/98 10:00,0,0
01/09/98 11:00,0,0
01/09/98 12:00,0,0
01/09/98 13:00,0,0
01/09/98 14:00,0,0
01/09/98 15:00,0,0
01/09/98 16:00,0,0
01/09/98 17:00,0,0
01/09/98 18:00,0,0
01/09/98 19:00,0,0
01/09/98 20:00,0,0
01/09/98 21:00,0,0
01/09/98 22:00,0,0
01/09/98 23:00,0,0
01/10/98 00:00,0,0
01/10/98 01:00,0,0
01/10/98 02:00,0,0
01/10/98 03:00,0,0
01/10/98 04:00,0,0
01/10/98 05:00,0,0
01/10/98 06:00,0,0
01/10/98 07:00,0,0
01/10/98 08:00,0,0
01/10/98 09:00,0,0
01/10/98 10:00,0,0
01/10/98 11:00,0,0
01/10/98 12:00,0,0
01/10/98 13:00,0,0
01/10/98 14:00,0,0
01/10/98 15:00,0,0
01/10/98 16:00,0,0
01/10/98 17:00,0,0
01/10/98 18:00,0,0
01/10/98 19:00,0,0
01/10/98 20:00,0,0
01/10/98 21:00,0,0
01/10/98 22:00,0,0
01/10/98 23:00,0,0
01/11/98 00:00,0,0
01/11/98 01:00,0,0
01/11/98 02:00,0,0
01/11/98 03:00,0,0
01/11/98 04:00,0,0
01/11/98 05:00,0,0
01/11/98 06:00,0,0
01/11/98 07:00,0,0
01/11/98 08:00,0,0
01/11/98 09:00,0,0
01/11/98 10:00,0,0
01/11/98 11:00,0,0
01/11/98 12:00,0,0
01/11/98 13:00,0,0
01/11/98 14:00,0,0
01/11/98 15:00,0,0
01/11/98 16:00,0,0
01/11/98 17:00,0,0
01/11/98 18:00,0,0
01/11/98 19:00,0,0
01/11/98 20:00,0,0
01/11/98 21:00,0,0
01/11/98 22:00,0,0
01/11/98 23:00,0,0
01/12/98 00:00,0,0
01/12/98 01:00,0,0
01/12/98 02:00,0,0
01/12/98 03:00,0,0
01/12/98 04:00,0,0
01/12/98 05:00,0,0
01/12/98 06:00,0,0
01/12/98 07:00,0,0
01/12/98 08:00,0,0
01/12/98 09:00,0,0
01/12/98 10:00,0,0
01/12/98 11:00,0,0
01/12/98 12:00,0,0
01/12/98 13:00,0,0
01/12/98 14:00,0,0
01/12/98 15:00,0,0
01/12/98 16:00,0,0
01/12/98 17:00,0,0
01/12/98 18:00,0,0
01/12/98 19:00,0,0
01/12/98 20:00,0,0
01/12/98 21:00,0,0
01/12/98 22:00,0,0
01/12/98 23:00,0,0
01/13/98 00:00,0,0
01/13/98 01:00,0,0
01/13/98 02:00,0,0
01/13/98 03:00,0,0
01/13/98 04:00,0,0
01/13/98 05:00,0,0
01/13/98 06:00,0,0
01/13/98 07:00,0,0
01/13/98 08:00,0,0
01/13/98 09:00,0,0
01/13/98 10:00,0,0
01/13/98 11:00,0,0
01/13/98 12:00,0,0
01/13/98 13:00,0,0
01/13/98 14:00,0,0
01/13/98 15:00,0,0
01/13/98 16:00,0,0
01/13/98 17:00,0,0
01/13/98 18:00,0,0
01/13/98 19:00,0,0
01/13/98 20:00,0,0
01/13/98 21:00,0,0
01/13/98 22:00,0,0
01/13/98 23:00,0,0
01/14/98 00:00,0,0
01/14/98 01:00,0,0
01/14/98 02:00,0,0
01/14/98 03:00,0,0
01/14/98 04:00,0,0
01/14/98 05:00,0,0
01/14/98 06:00,0,0
01/14/98 07:00,0,0
01/14/98 08:00,0,0
01/14/98 09:00,0,0
01/14/98 10:00,0,0
01/14/98 11:00,0,0
01/14/98 12:00,0,0
01/14/98 13:00,0,0
01/14/98 14:00,0,0
01/14/98 15:00,0,0
01/14/98 16:00,0,0
01/14/98 17:00,0,0
01/14/98 18:00,0,0
01/14/98 19:00,0,0
01/14/98 20:00,0,0
01/14/98 21:00,0,0
01/14/98 22:00,0,0
01/14/98 23:00,0,0
01/15/98 00:00,0,0
01/15/98 01:00,0,0
01/15/98 02:00,0,0
01/15/98 03:00,0,0
01/15/98 04:00,0,0
01/15/98 05:00,0,0
01/15/98 06:00,0,0
01/15/98 07:00,0,0
01/15/98 08:00,0,0
01/15/98 09:00,0,0
01/15/98 10:00,0,0
01/15/98 11:00,0,0
01/15/98 12:00,0,0
01/15/98 13:00,0,0
01/15/98 14:00,0,0
01/15/98 15:00,0,0
01/15/98 16:00,0,0
01/15/98 17:00,0,0
01/15/98 18:00,0,0
01/15/98 19:00,0,0
01/15/98 20:00,0,0
01/15/98 21:00,0,0
01/15/98 22:00,0,0
01/15/98 23:00,0,0
01/16/98 00:00,0,0
01/16/98 01:00,0,0
01/16/98 02:00,0,0
01/16/98 03:00,0,0
01/16/98 04:00,0,0
01/16/98 05:00,0,0
01/16/98 06:00,0,0
01/16/98 07:00,0,0
01/16/98 08:00,0,0
01/16/98 09:00,0,0
01/16/98 10:00,0,0
01/16/98 11:00,0,0
01/16/98 12:00,0,0
01/16/98 13:00,0,0
01/16/98 14:00,0,0
01/16/98 15:00,0,0
01/16/98 16:00,0,0
01/16/98 17:00,0,0
01/16/98 18:00,0,0
01/16/98 19:00,0,0
01/16/98 20:00,0,0
01/16/98 21:00,0,0
01/16/98 22:00,0,0
01/16/98 23:00,0,0
01/17/98 00:00,0,0
01/17/98 01:00,0,0
